"title","score","episode_count","episode_length","member_count","start_date","synopsis","genre","studio","source","url","image"
Utawarerumono: Futari no Hakuoro,7.29,"28 eps","24 min",27156,2022-07-03,"After the events of Mask of Deception, the Yamato Empire is now ruled with an iron fist by a ruthless usurper who seeks to subjugate all before him. It's up to a couple of familiar faces to band together against the might of the Imperial army, and the fate of the world hangs in the balance as nations and generals must pick a side to fight with in this perilous civil war. Secrets will be revealed, friendships will be tested, and battles will be fought. Will peace and order be restored or will victory at any cost be the beginning of the end? 

(Source: Atlus)","{Action,Drama,Fantasy}",White Fox,Visual novel,https://myanimelist.net/anime/40590/Utawarerumono__Futari_no_Hakuoro,https://cdn.myanimelist.net/images/anime/1516/123280.jpg
Digimon Ghost Game,6.89,? eps,"23 min",18369,2021-10-03,"Sightings of mysterious creatures known as ""Hologram Ghosts"" have been a popular topic on social networks for the past few years. According to the rumors, several people have fallen victim to these specters. Those fortunate to survive their encounters with the paranormal beings claim that they resembled glitched holograms.

Hazakura Academy middle school student Hiro Amanokawa believes these sightings are merely an urban legend. However, as the incidents start to increase in frequency, he is reminded of the day his father suddenly vanished, with strange digital watches serving as the only relics of his disappearance. Much like the other sightings, what happened to Hiro's father cannot be explained by conventional logic. 

One day, when a fellow student in the academy is attacked by a Hologram Ghost, Hiro and his friend Kiyoshirou Higashimitarai decide to look into the matter. Little does Hiro know that this investigation will be their first step toward discovering a dangerous world previously unknown to mankind.

[Written by MAL Rewrite]
","{Action,Adventure,Comedy,Fantasy}",Toei Animation,Other,https://myanimelist.net/anime/49515/Digimon_Ghost_Game,https://cdn.myanimelist.net/images/anime/1907/118797.jpg
Doraemon (2005),7.62,? eps,"25 min",17335,2005-04-22,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. 

It is the 2005 version of 1979 series, with certain changes in the animation and other things.

Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech.

(Source: Wikipedia)","{Comedy,Sci-Fi,Anthropomorphic,Kids}",Shin-Ei Animation,Manga,https://myanimelist.net/anime/8687/Doraemon_2005,https://cdn.myanimelist.net/images/anime/6/23935.jpg
Gudetama,7.04,? eps,"1 min",11318,2014-03-31,"Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved.

(Source: ANN)","{Comedy,Gourmet,Kids}",Gathering,Original,https://myanimelist.net/anime/23539/Gudetama,https://cdn.myanimelist.net/images/anime/10/79996.jpg
Sazae-san,6.11,? eps,"24 min",7481,1969-10-05,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)","{Comedy,""Slice of Life""}",Eiken,"4-koma manga",https://myanimelist.net/anime/2406/Sazae-san,https://cdn.myanimelist.net/images/anime/1008/98996.jpg
Delicious Party♡Precure,7.16,? eps,"24 min",6939,2022-02-06,"The mysterious, delicious world of CooKingdom, which rules over all the cuisine in this world. CooKingdom has closely guarded the Recipe-Bon, in which it's written how to prepare any dish. But, oh no! One day, it gets stolen by the Bundoru Gang! The Bundoru Gang plans to monopolize everything for themselves, and their next target is the Cuisine Fairy Recipeppi... The Energy Fairies have come to Oishi-Na Town in the human world in search of the Recipe-Bon. With their help, an unexpected turn of events leads to three ordinary girls transforming into Pretty Cures! They stand up to the Bundoru Gang, to recover the Recipe-Bon, and to protect everyone's delicious smiles! 

(Source: Toei Animation USA)","{Action,Fantasy,""Mahou Shoujo"",Shoujo}",Toei Animation,Original,https://myanimelist.net/anime/50281/Delicious_Party♡Precure,https://cdn.myanimelist.net/images/anime/1332/120430.jpg
Nintama Rantarou,7.08,? eps,"10 min",6806,1993-04-10,"Rantarou, Shinbei and Kirimaru are ninja apprentices in the Ninja Gakuen, where first grade ones are called ""Nintamas"" (contraction of the words ninja+tama (egg)). They must learn everything a ninja must know, but as for our heroes, money, food or playing are more interesting. The series show the everyday adventures of our heroes, segmentated in a cartoon fashion, like 2 small episodes in a 30-min show. The cast also includes the teachers (Doi-sensei and crossdressing Yamada-sensei), nintama kunoichis, evil guys (Dokutake ninjas) and even family members of all the cast...

(Source: ANN)","{Comedy,Kids}",Ajia-Do,Manga,https://myanimelist.net/anime/1199/Nintama_Rantarou,https://cdn.myanimelist.net/images/anime/6/74028.jpg
Chibi Maruko-chan (1995),7.26,? eps,"23 min",4640,1995-01-08,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life.

(Source: ANN)","{Comedy,""Slice of Life"",School,Shoujo}",Nippon Animation,Manga,https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995,https://cdn.myanimelist.net/images/anime/1108/100604.jpg
Yu☆Gi☆Oh!: Go Rush!!,5.79,? eps,"24 min",4047,2022-04-03,"After inheriting the company from their parents, siblings Yuuhi and Yuamu Oudou have started to work at Ultraterrestrial Trouble Solutions, an organization that hunts aliens. Although they have never encountered aliens before, Yuuhi is desperate to meet one as he believes that an alien has stolen his important item called the ""Earthdamar.""

One day, while searching for extraterrestrial creatures, Yuuhi and Yuamu find a strange spot in the forest where many trees have fallen, forming a scenery similar to a crop circle. As they venture further, they discover a mysterious spaceship and enter it out of curiosity. To their surprise, they come across Yudias Velgear, an alien from the Velgear Star Cluster. As it turns out, Yudias is seeking to learn about Rush Duel—a card game popular among elementary school students—as he believes that it will save his home from a long war.

With the siblings agreeing to teach Yudias about Rush Duel, they eventually realize that their first contact with an alien may not be a random coincidence.

[Written by MAL Rewrite]
","{Action,Fantasy,""Strategy Game""}",Bridge,Card game,https://myanimelist.net/anime/50607/Yu☆Gi☆Oh__Go_Rush,https://cdn.myanimelist.net/images/anime/1556/122518.jpg
Shadowverse Flame,6.31,? eps,"24 min",3903,2022-04-02,"Shadowverse Flame features a new protagonist Light Tenryu and its story is set in Shadovar College, a facility that trains professional players of the Shadowverse game. Tenryu Light, a transfer student, decides to join ""Seventh Flame,"" one of the seven Shadovar clubs. However, Seventh Flame is on the verge of closure due to a lack of members! In order to avoid the club's demise, Light decides to look for new members. But what awaits him are powerful rivals who control a wide variety of cards...

(Source: Crunchyroll)","{Fantasy,""Strategy Game""}",Zexcs,Card game,https://myanimelist.net/anime/50060/Shadowverse_Flame,https://cdn.myanimelist.net/images/anime/1877/122972.jpg
